date,station,oxygen
2015-12-31,CCE1,260.5083675927544
2015-12-31,CCE2,236.96470642089844
2016-01-01,CCE1,258.92794125869244
2016-01-01,CCE2,239.2916717529297
2016-01-02,CCE1,259.0997724114364
2016-01-02,CCE2,235.6453857421875
2016-01-03,CCE1,256.19460753988665
2016-01-03,CCE2,240.05580139160156
2016-01-04,CCE1,256.247589244414
2016-01-04,CCE2,242.04039001464844
2016-01-05,CCE1,255.91611081429164
2016-01-05,CCE2,242.34527587890625
2016-01-06,CCE1,258.88962591822
2016-01-06,CCE2,240.3113555908203
2016-01-07,CCE1,260.2402467414538
2016-01-07,CCE2,242.3083648681641
2016-01-08,CCE1,262.03339676477003
2016-01-08,CCE2,243.0305023193359
2016-01-09,CCE1,262.3431802696259
2016-01-09,CCE2,242.24609375
2016-01-10,CCE1,262.6541321939185
2016-01-10,CCE2,246.21044921875
2016-01-11,CCE1,263.19743047450663
2016-01-11,CCE2,246.5565185546875
2016-01-12,CCE1,262.84176606630166
2016-01-12,CCE2,252.4176025390625
2016-01-13,CCE1,262.29654582738914
2016-01-13,CCE2,252.50941467285156
2016-01-14,CCE1,257.7971188635675
2016-01-14,CCE2,253.94883728027344
2016-01-15,CCE1,263.1779803617321
2016-01-15,CCE2,257.89752197265625
2016-01-16,CCE1,262.3873463931319
2016-01-16,CCE2,259.7457275390625
2016-01-17,CCE1,260.170656436589
2016-01-17,CCE2,260.9053039550781
2016-01-18,CCE1,260.2524526998214
2016-01-18,CCE2,264.6318664550781
2016-01-19,CCE1,259.193618216748
2016-01-19,CCE2,264.989501953125
2016-01-20,CCE1,260.34410480048115
2016-01-20,CCE2,261.6606750488281
2016-01-21,CCE1,260.86783027169514
2016-01-21,CCE2,263.6849670410156
